vill,n_total,n_adopt,n_nonad,s_adopt,s_nonad,b_adopt,b_nonad,pb_adopt,pb_nonad,ps_adopt,ps_nonad,dist,p1,weight_vill
Kagasa,88,20,68,6,6,9,9,.45,.1323529411764706,.6666666666666666,.6666666666666666,11,.0181741145545102,55.02331335046163
Rwankuba,124,22,102,6,6,9,9,.4090909090909091,.0882352941176471,.6666666666666666,.6666666666666666,12,.0049639761544938,201.4514109006583
Kirerabana,159,34,125,6,6,9,9,.2647058823529412,.072,.6666666666666666,.6666666666666666,21,.0093137356811709,107.3683035714282
Remera,141,17,124,6,6,9,9,.5294117647058824,.0725806451612903,.6666666666666666,.6666666666666666,21,.0177297618990964,56.40233668625663
Nyabigugu,213,75,138,6,6,9,9,.12,.0652173913043478,.6666666666666666,.6666666666666666,21,.0125679324854354,79.56758211096933
Bukinanyana,123,18,105,6,6,9,9,.5,.0857142857142857,.6666666666666666,.6666666666666666,21,.0073499962303216,136.0544915485276
Karambo(South),157,6,151,6,6,6,9,1,.0596026490066225,1,.6666666666666666,22,.0139189261942373,71.84462264150945
Shenyeri,154,1,153,1,11,1,14,1,.0915032679738562,1,.7857142857142857,22,.0120805774516022,82.7774999999999
Cyumba,142,70,72,6,6,9,9,.1285714285714286,.125,.6666666666666666,.6666666666666666,22,.0085351905908059,117.1619999999999
Murama,136,15,121,6,6,9,9,.6,.0743801652892562,.6666666666666666,.6666666666666666,22,.0101109180844931,98.90298701298735
Gisunzu,90,10,80,6,6,9,9,.9,.1125,.6666666666666666,.6666666666666666,22,.0060402887258011,165.5549999999998
Bugina,146,41,105,6,6,9,9,.2195121951219512,.0857142857142857,.6666666666666666,.6666666666666666,23,.0078638231070747,127.1646101881855
Agatovu,204,25,179,6,6,9,9,.36,.0502793296089386,.6666666666666666,.6666666666666666,23,.0106619932924142,93.79109258223605
Gahotora,185,63,122,6,6,9,9,.1428571428571429,.0737704918032787,.6666666666666666,.6666666666666666,23,.0207450548223444,48.20425921087009
Kadahokwa,199,42,157,6,6,9,9,.2142857142857143,.0573248407643312,.6666666666666666,.6666666666666666,24,.0109544662950563,91.28696670976069
Gakoni,197,139,58,6,6,9,9,.0647482014388489,.1551724137931035,.6666666666666666,.6666666666666666,24,.0147463969356527,67.81317527010799
Mujyejuru,117,31,86,6,6,9,9,.2903225806451613,.1046511627906977,.6666666666666666,.6666666666666666,24,.0090284062871343,110.7615196078431
Kibiraro,62,20,42,6,6,9,9,.45,.2142857142857143,.6666666666666666,.6666666666666666,24,.0063800737762416,156.7379994450604
Kagano(South),111,4,107,4,8,4,11,1,.102803738317757,1,.7272727272727273,25,.0114774899019226,87.1270642401079
Bahina,105,4,101,4,8,4,11,1,.1089108910891089,1,.7272727272727273,25,.0067011431725511,149.2282696027376
Muyange,191,3,188,3,9,3,12,1,.0638297872340425,1,.75,25,.014542906459579,68.76204579733981
Uwicurangiro,115,6,109,6,6,6,9,1,.0825688073394495,1,.6666666666666666,25,.0085546508585759,116.8954778554774
Murambi(South),132,4,128,4,8,4,11,1,.0859375,1,.7272727272727273,25,.0098378484873623,101.6482416134585
Karama(South),113,35,78,6,6,9,9,.2571428571428571,.1153846153846154,.6666666666666666,.6666666666666666,26,.0113460456650568,88.13643356643355
