"","hhid","bush","climber","HIB","bean_prod","bean_cons","bean_giveaway","bean_nextseason","bean_sold","bean_prod_hib1","bean_cons_hib1","bean_giveaway_hib1","bean_nextseason_hib1","bean_sold_hib1","bean_prod_hib2","bean_cons_hib2","bean_giveaway_hib2","bean_nextseason_hib2","bean_sold_hib2","bean_prod_hib3","bean_cons_hib3","bean_giveaway_hib3","bean_nextseason_hib3","bean_sold_hib3","bean_prod_hib4","bean_cons_hib4","bean_giveaway_hib4","bean_nextseason_hib4","bean_sold_hib4","bean_prod_hib5","bean_cons_hib5","bean_giveaway_hib5","bean_nextseason_hib5","bean_sold_hib5","bean_prod_hib6","bean_cons_hib6","bean_giveaway_hib6","bean_nextseason_hib6","bean_sold_hib6","bean_prod_hib7","bean_cons_hib7","bean_giveaway_hib7","bean_nextseason_hib7","bean_sold_hib7","bean_prod_hib8","bean_cons_hib8","bean_giveaway_hib8","bean_nextseason_hib8","bean_sold_hib8","bean_prod_hib9","bean_cons_hib9","bean_giveaway_hib9","bean_nextseason_hib9","bean_sold_hib9","bean_prod_hib10","bean_cons_hib10","bean_giveaway_hib10","bean_nextseason_hib10","bean_sold_hib10","area_hib_1","area_hib_2","area_hib_3","area_hib_4","area_hib_5","area_hib_6","area_hib_7","area_hib_8","area_hib_9","area_hib_10","area_hib_bush","area_hib_climbers","area_local_b","area_local_c","area_imp_b","area_imp_c","xx54","xx55","xx12.x","pure_hib","pure_hib_b","pure_hib_c","no_pure_hib_c","no_pure_local_b","no_pure_local_c","pure_i_b","pure_i_c","no_pure_i_c","no_pure_i_b","pure_local_b","pure_local_c","per_hib_bush","per_hib_climbers","bean_prod_local_c","bean_cons_local_c","bean_giveaway_local_c","bean_nextseason_local_c","bean_sold_local_c","bean_prod_imp_c","bean_cons_imp_c","bean_giveaway_imp_c","bean_nextseason_imp_c","bean_sold_imp_c","bean_prod_local_b","bean_cons_local_b","bean_giveaway_local_b","bean_nextseason_local_b","bean_sold_local_b","bean_prod_imp_b","bean_cons_imp_b","bean_giveaway_imp_b","bean_nextseason_imp_b","bean_sold_imp_b","xx15","xx16","xx18","xx19","xx20","xx21","a8","cohort_0_19_65.x","cohort_20_64.x","cohort_0_5","women_12_49","dependency_ratio","T_REF_BULK_DENSITY","T_OC","T_PH_H2O","T_CEC_CLAY","T_CEC_SOIL","T_BS","T_TEB","T_CACO3","T_CASO4","T_ESP","T_ECE","T_ECE.1","quartile_tt_comm_ps","quartile_tt_clinics","quartile_tt_comm_ss","quartile_tt_service","quartile_a_20k","quartile_a_50k","quartile_a_100k","quartile_a_250k","quartile_a_rainfall","quartile_fz","no_agr_wage_labor_hh","hh_education_mean","hhead_age","years_farm_exp","l6","b1","k1b","ncrops","plot_slope","IDZAC","gps2","gps3","c1","c3","cor_xx3","cor2_xx3","cor_xx54","xx1","xx3","xx2","xx5","xx6","xx7","xx10","xx11","xx12.y","wy_yield_plot","ave_yield_plot","share_area_imp_var","tt_25000","tt_50000","tt_100000","dem","tt_clinics","tt_service","tt_comm_ss","tt_comm_ps","pop_den","t_mean","dsi_01_11_median","cwi_norm","yield_gap","relative_yield","a_rainfall","ea_pop_hh","ea_female_hh","male_hhh","males_hh","female_hhh","females_hh","agr_wage_labor_hh","mar_status_nm_hh","mar_status_mm_hh","mar_status_mp_hh","ltrcy_no_read_write_hh","ltrcy_read_only_hh","ltrcy_read_write_hh","beans_high_rwf_kg_2015b","beans_low_rwf_kg_2015b","beans_year_high_rwfperkg","beans_year_low_rwfperkg","maize_high_rwf_kg_2015b","maize_low_rwf_kg_2015b","maize_year_high_rwfperkg","maize_year_low_rwfperkg","sorghum_low_rwf_kg_2015b","sorghum_year_high_rwfperkg","sorghum_year_low_rwfperkg","sorghum_high_rwf_kg_2015b","sp_low_rwf_kg_2015b","sp_year_high_rwfperkg","sp_year_low_rwfperkg","sp_high_rwf_kg_2015b","cassava_low_rwf_kg_2015b","cassava_year_high_rwfperkg","cassava_year_low_rwfperkg","crop1_banana","crop2_cassava","crop2_maize","crop2_sp","crop2_sorghum","crop3_cassava","crop3_sorghum","a1.x","n_people_hh","n_varieties","d11","d13","d14","d15","d16","d17","d18","d19","d22","c4_1","c4_2","c4_3","c4_4","c4_5","c4_6","c4_7","bean_area","i_l_b_area","area_irrigated_land","area_manure_land","area_compost_land","area_fertilizer_land","area_pesticide_land","area_no_title","area_own_title","area_renting","area_share_croping","cor_c","yield_pure_i_b","yield_pure_i_c","yield_pure_local_b","yield_pure_local_c","yield_pure_hib_b","yield_pure_hib_c","d","d8","d10","d12","weighted_slope","mixed","ratio_imp_var_to_bean_area","ratio_beans_ns_to_bean_prod","log_wy_yield_hh","hh_bean_yield","log_hh_bean_yield_kg_ha","HIB_adoption","improved_adoption","improved","local","p_l_b_c","p_i_b_c","p_hib_b_c","p_hib_b","p_hib_c","full_hib_b","full_hib_c","full_local_b","full_local_c","perc_no_title","perc_own_title","perc_renting","perc_share_croping","hhead_age_sqrd","perc_irrigated_land","perc_pesticide_land","perc_compost_land","perc_manure_land","reg_1","reg_2","reg_3","reg_4","hhid_1","land_labor_ratio_cor","value_bean_prod","n_varieties_cor","e21_to_whom_and_where_beans_were_sold"
"1",20250403020017,1,0,0,0.010000000001625,0.010000000001625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,491.25,0,2000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010000000001625,0.010000000001625,0,0,0,0,0,0,0,0,0,2,1,2,0,1,5,1.31,3.91,4.3,20,18,17,3.1,0,0,1,0,0,10,10,10,3,10,10,10,10,10,8,0,1,45,10,4,3,0,2,5,5,-2.38755,29.40286,1965,1965,20.3562341,20.3562341,17053.7634408602,1,20.3562341,100,1,100,0,25000,5,0,20.3562341,20.3562341,100,452,456,546,2390,597,31,501,493,98,201.5,0.1079565,0.353211414,-17.3562341,6.78541136666667,1604,3,1,1,2,0,1,0,1,2,0,2,0,0,379.7171326,613.4794922,345.0331116,639.1962891,204.184021,299.6647034,204.1826172,349.7643738,450.2954102,340.8856506,461.12854,340.8856506,108.8592987,61.7591057,108.8592987,61.7591057,137.8111725,99.1157532,158.7684784,0,0,1,0,0,0,0,2,3,1,1,0,4,0,0,1,1,1,0,3,21,0,0,0,0,0,491.25,49125,0,1965,1965,1965,0,0,1965,0,0,1965,20.3562341,0,0,0,0,0,25,1,25,0,5,1,100,0,3.06134369236846,203.562341,5.31597230194926,0,1,1,0,0,0,0,0,0,0,0,0,0,0,100,0,0,2025,0,0,100,100,0,1,0,0,"20250403020017",655,4965.98312480697,1,0
"2",20250403020020,1,0,0,0.02,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,0,2000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.02,0,0,0,0,0,0,0,0,0,2,4,2,2,1,20,1.31,3.91,4.3,20,18,17,3.1,0,0,1,0,0,10,10,10,3,10,10,10,10,10,2,4,1.5,54,5.83333333333333,4,6,0,1,9.5,5,-2.38722,29.40344,1490,1490,125,125,17053.7634408602,1,125,100,1,100,0,30000,10,0,125,125,100,452,456,546,2390,597,31,501,493,98,201.6666667,0.1076179,0.314244206,-122,41.6666666666667,1605,2,1,1,3,0,3,4,0,2,0,1,1,1,379.7171326,613.4794922,345.0331116,639.1962891,204.184021,299.6647034,204.1826172,349.7643738,450.2954102,340.8856506,461.12854,340.8856506,108.8592987,61.7591057,108.8592987,61.7591057,137.8111725,99.1157532,158.7684784,0,0,0,0,0,0,0,2,6,1,1,0,3,0,0,1,1,1,0,3,0,0,0,0,0,0,160,16000,0,160,160,160,0,0,0,160,0,160,125,0,0,0,0,0,100,2,100,60,9.5,1,100,0,4.83628190695148,1250,7.13089883029635,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,100,0,2916,0,0,100,100,0,1,0,0,"20250403020020",80,9931.966248,1,0
"3",20250403020028,1,0,0,0.00999999999999,0.00999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250.25,0,0,0,2000,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00999999999999,0.00999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,2,20,1.31,3.91,4.3,20,18,17,3.1,0,0,1,0,0,10,10,10,3,10,10,10,10,10,7,1,2,50,11.6666666666667,4,3,0,2,5,5,-2.38554,29.40322,1001,1001,39.96003996,39.96003996,15786.2903225806,1,39.96003996,100,0,100,0,15000,5,0,39.96003996,39.96003996,0,479,482,572,2389,623,45,527,520,98,201.75,0.1152016,0.346779776,-36.96003996,13.32001332,1601,2,2,0,0,1,3,1,1,0,0,1,0,0,379.7171326,613.4794922,345.0331116,639.1962891,204.184021,299.6647034,204.1826172,349.7643738,450.2954102,340.8856506,461.12854,340.8856506,108.8592987,61.7591057,108.8592987,61.7591057,137.8111725,99.1157532,158.7684784,0,0,0,0,0,0,0,2,3,1,1,0,4,0,0,0,1,1,0,3,19,0,0,0,0,0,250.25,25025,0,1001,1001,0,0,0,1001,0,0,1001,0,0,39.96003996,0,0,0,25,1,25,0,5,1,100,0,3.71259695631671,399.6003996,5.9904650467739,0,0,0,1,0,0,0,0,0,0,0,1,0,0,100,0,0,2500,0,0,100,100,0,1,0,0,"20250403020028",500.5,4965.98312399503,1,0
"4",20250403020029,1,1,2,0.046000000005,0.0444000000045,0,0.0016000000005,0,0.016000000005,0.0144000000045,0,0.0016000000005,0,0.03,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,750,750,0,0,0,0,0,0,0,0,750,750,0,0,0,0,400,200,0,0,0,0,1,0,0,0,0,0,0,0,0,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,1,10,1.31,3.91,4.3,20,18,17,3.1,0,0,1,0,0,10,10,10,3,10,10,10,10,10,8,2,1.5,33,4.75,4,4,0,1,9.5,5,-2.38562,29.40345,500,2000,15.333333335,15.333333335,6988.23648103309,1.5,15.333333335,50,1,95,0,17500,57.5,0,15.333333335,15.333333335,50,479,482,572,2389,623,45,527,520,98,201.8333333,0.1142718,0.436121808,-11.833333335,4.27777777833333,1602,2,1,1,1,0,3,2,0,2,0,1,0,0,379.7171326,613.4794922,345.0331116,639.1962891,204.184021,299.6647034,204.1826172,349.7643738,450.2954102,340.8856506,461.12854,340.8856506,108.8592987,61.7591057,108.8592987,61.7591057,137.8111725,99.1157532,158.7684784,0,0,0,0,0,0,0,2,4,4,2,0,3,0,0,0,1,0,0,3,0,0,0,0,0,0,1500,75000,0,1500,0,0,0,0,1500,0,0,1500,0,0,0,0,0,0,100,3,0,20,9.5,2,50,0.034782608702741,2.79320800954456,306.6666667,5.72576138148367,1,1,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,1089,0,0,0,100,0,1,0,0,"20250403020029",750,22843.522372883,4,0
"5",20250903040005,0,1,0,0.003,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,40000,100,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.003,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,2,0,3,25,1.31,3.91,4.3,20,18,17,3.1,0,0,1,0,0,5,4,4,5,1,3,3,4,10,5,5,3,45,2.85714285714286,4,7,0,3,5,5,-2.5155,29.45102,1000,1500,60,60,13665.7894735798,2,60,100,1,100,0,15000,0.075,0,60,60,100,57,61,147,2240,202,114,106,98,1294,209,-0.0085216,0.412493862,-56,15,1530,4,3,1,3,0,4,3,2,2,0,1,1,1,365.0874939,588.3214722,332.6094971,625.3861084,221.719635,297.3121338,231.4739227,312.7279968,439.5840454,332.7750244,447.8617249,332.7750244,108.7719803,55.5847549,100.54879,55.5847549,166.9214935,125.7009964,183.8412323,0,0,0,1,0,0,0,2,7,1,1,0,4,0,0,0,1,0,0,3,37,42,0,0,0,0,50,5000,0,500,0,0,0,500,0,0,0,500,0,60,0,0,0,0,10,2,0,0,5,1,100,0,4.11087386417331,600,6.39692965521615,0,1,1,0,0,0,0,0,0,0,0,0,0,100,0,0,0,2025,0,0,0,100,0,1,0,0,"20250903040005",125,1430.11344915,1,0
"6",20250903040022,1,0,0,0.01199999999937,0.0089999999995275,0,0.0029999999998425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,223,0,0,0,3000,1800,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01199999999937,0.0089999999995275,0,0.0029999999998425,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,1,1,10,1.31,3.91,4.3,20,18,17,3.1,0,0,1,0,0,5,4,4,5,2,4,4,4,10,3,2,3.75,30,1.75,1,4,0,1,5,5,-2.52194,29.4505,7651,1523,53.81165919,53.81165919,3000,1,53.81165919,100,0,75,0,15000,4,0,53.81165919,53.81165919,0,57,61,147,2240,202,114,106,98,690,208.5833333,-0.0057532,0.507405067,-50.81165919,17.93721973,1537,2,1,1,2,0,2,2,0,2,0,0,0,0,368.4564819,578.1913452,329.7627869,594.2012939,221.6173859,297.2037354,231.4474792,312.5399475,409.9730835,320.4328918,419.9461975,320.4328918,106.5128479,58.4026108,96.7998352,58.4026108,175.1200409,130.0854797,189.7668152,0,0,0,0,0,0,0,2,4,1,1,1,4,0,0,1,1,1,1,3,0,0,0,0,0,0,223,22300,0,223,223,223,223,0,223,0,0,223,0,0,53.81165919,0,0,0,100,3,100,1,5,1,100,0.25,4.0039029302656,538.1165919,6.28807525025156,0,0,0,1,0,0,0,0,0,0,0,1,0,0,100,0,0,900,0,100,100,100,0,1,0,0,"20250903040022",111.5,5679.88696230181,1,0
"7",20251401050020,0,1,0,0.0576047657247368,0.0460838125797895,0,0.0115209531449474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6235.10967741935,0,0,20000,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.0576047657247368,0.0460838125797895,0,0.0115209531449474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2,1,2,15,1.3,3.21,5.2,40,23,41,9.6,0,0,0,0,0,10,10,10,10,10,10,10,10,9,8.5,3,1.2,47,7,4,5,0,1,16,5,-2.28198,29.43695,24842,24842,8.042627139,8.042627139,10000,2,8.042627139,100,0,80,0,30000,5,0,8.042627139,8.042627139,0,428,544,544,1780,620,416,638,399,574,229.4166667,0.1414229,0.250171278,-4.042627139,2.01065678475,1308,2,1,1,2,0,3,3,0,2,0,1,1,1,359.9685974,581.5387573,344.2419128,595.3480225,195.5783844,309.4866028,186.3375702,360.7294006,446.2011719,325.1820984,456.1088867,334.9470215,104.8524857,55.9709167,104.8524857,55.9709167,117.0976334,83.9076385,137.8618927,0,0,0,0,0,0,0,2,5,2,2,0,5,0,0,1,1,1,0,6,0,0,0,0,0,0,6235.10967741935,623510.967741936,0,6235.10967741935,6235.10967741935,6235.10967741935,0,0,6235.10967741935,0,0,6235.10967741935,0,0,0,8.042627139,0,0,100,4,37.5,2,19.8727124855915,1,100,0.2,2.20194974490563,92.3877344665712,4.52599422596812,0,0,0,1,0,0,0,0,0,0,0,0,1,0,100,0,0,2209,0,0,100,100,0,1,0,0,"20251401050020",3117.55483870968,27117.6552978051,2,0
"8",20251401050021,0,1,0,0.00378032903225806,0.00302426322580645,0,0.000756065806451613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,315.027419354839,0,0,6000,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.00378032903225806,0.00302426322580645,0,0.000756065806451613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,1,10,1.3,3.21,5.2,40,23,41,9.6,0,0,0,0,0,10,10,10,10,10,10,10,10,9,7,1,1.5,51,19,4,2,0,2,9.5,5,-2.28384,29.43691,10000,10720,12,12,6000,2,12,100,0,80,0,11250,5,0,12,12,0,428,544,544,1780,620,416,638,399,144,228.75,0.1424588,0.30418625,-8,3,1316,1,1,0,0,1,2,1,0,0,0,1,0,0,359.9685974,581.5387573,344.2419128,595.3480225,195.5783844,309.4866028,186.3375702,360.7294006,446.2011719,325.1820984,456.1088867,334.9470215,104.8524857,55.9709167,104.8524857,55.9709167,117.0976334,83.9076385,137.8618927,0,0,0,0,1,0,0,2,2,1,1,0,3,0,0,0,1,1,0,3,33,0,0,0,0,0,315.027419354839,31502.7419354839,0,1260.10967741935,1260.10967741935,0,0,0,1260.10967741935,0,0,1260.10967741935,0,0,0,12,0,0,25,2,25,0,9.5,1,100,0.2,2.56494935746154,120,4.78749174278205,0,0,0,1,0,0,0,0,0,0,0,0,1,0,100,0,0,2601,0,0,100,100,0,1,0,0,"20251401050021",1260.10967741935,1779.60379352845,1,0
"9",20350705010043,0,1,0,0.0359875653250396,0.00404782697721119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,294.11764527,0,5.882353305,2000,800,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.003060000018,0.003060000018,0,0,0,0.0329275653070396,0.000987826959211188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,2,1,15,1.3,3.21,5.2,40,23,41,9.6,0,0,0,0,0,4,4,4,4,2,2,2,2,7,7,3,1.2,35,6,4,5,0,3,22.5,7,-1.79889,29.64228,1530,1530,30.6595749476822,59.9792755417327,8294.23314020535,2,260.09998423,49.9999997625,0.5,51.5,0,6000,3,0,12.1521285825532,59.9792755417327,0.9803922175,82,82,144,1489,197,77,108,75,73,253.9166667,-0.2258919,0.311396581,-55.9792755417327,14.9948188854332,1242,2,1,1,2,0,3,5,0,2,0,2,0,0,340.9429626,468.0837402,345.4236755,471.3477783,182.9764404,269.7788086,162.1032867,260.4594116,379.0417175,304.4568787,393.1047974,315.7335205,96.3424911,56.2385063,103.9010925,62.0178299,172.6850586,119.9381866,181.8308105,1,0,0,0,0,0,0,3,5,4,2,0,2,0,0,0,1,1,0,2,3,21,0,0,0,0,300,14999.99992875,0,1200,1200,0,0,1200,0,0,0,1200,0,0,0,0,0,0,25,3,50,1,22.5,1,49.9999997625,0,2.57658361492001,1199.58551083465,7.08973136847134,0,1,1,0,0,0,0,0,0,0,0,0,0,100,0,0,0,1225,0,0,100,100,0,0,1,0,"20350705010043",600,14557.4506583582,4,0
"10",20360803010015,1,1,0,0.1793135993134,0.075702445301942,0.0540111540078,0.029600000002183,0.020000000001475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1235,0,0,950,23000,0,20000,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0.0993135993075,0.0453024452997,0.0540111540078,0,0,0.0800000000059,0.030400000002242,0,0.029600000002183,0.020000000001475,0,0,0,0,0,1,0,0,0,0,0,3,2,2,0,1,10,1.12,1.82,5.2,27,27,31,8.5,0,0,0,0,0,5,10,10,5,10,10,10,10,4,6.66666666666667,1,6,78,8.75,4,4,1,1.33333333333333,22.5,1,-2.60215,29.01215,2850,3800,56.4393195966667,56.4393195966667,4984.84848484848,1.66666666666667,56.4393195966667,66.6666666666667,0.666666666666667,37.6666666666667,41.6666666666667,19999.9998,5.88888888866667,6666.66666666667,53.1713900131333,56.4393195966667,33.3333333333333,641,665,665,1093,667,120,667,120,1203,269.8333333,-0.2729754,0.819906786,-52.77265293,15.9092001197222,1140,2,2,1,2,0,2,1,1,2,0,1,0,0,288.5775146,423.2017517,273.0120544,396.1460571,146.4853363,212.5410156,148.0814056,214.0627747,450.1549377,340.1332397,460.2605591,340.1332397,114.7885895,76.6424255,101.0691833,73.1236954,215.319397,158.1314697,251.6021576,0,1,0,0,0,0,0,3,4,5,3,0,4,0,1,0,1,1,0,6,8,0,0,0,0,0,2185,171000,0,2850,2850,0,0,0,1900,950,0,2850,0,0,32.38866397,0,0,0,82.5,3,32.5,20,22.5,2,78.2608695652174,0.16507392699451,3.99215290954242,820.657205095652,6.71010548888187,0,1,1,0,0,0,0,0,0,0,0,0,0,0,66.6666666666667,33.3333333333333,0,6084,0,0,100,100,0,0,1,0,"20360803010015",1425,63815.851078452,5,1
