"","id1","n_varieties","share_area_local","share_area_improved","xx2_xx3","xx2","per_hib_bush","per_hib_climbers","yield_pure_i_b","yield_pure_i_c","yield_pure_local_b","yield_pure_local_c","yield_pure_hib_b","yield_pure_hib_c","d","d8","d10","d11","d12","d13","d14","d15","d16","d17","d18","d19","d22","c4_1","c4_2","c4_3","c4_4","c4_5","c4_6","c4_7","bean_area","i_l_b_area","cor_c","area_irrigated_land","area_manure_land","area_compost_land","area_fertilizer_land","area_pesticide_land","bush","climber","area_no_title","area_own_title","area_renting","area_share_croping","renting","own_title","own_notitle","share_croping","share_area_imp_var","cor_c.1","mean_p_beans_year_2015","mean_p_maize_year_2015","mean_p_sorghum_year_2015","mean_p_sp_year_2015","hhid"
"1","20250403020017_1",1,0,100,20.3562341,100,0,0,20.3562341,0,0,0,0,0,25,1,25,1,0,0,4,0,0,1,1,1,0,3,21,0,0,0,0,0,491.25,49125,1965,0,1965,1965,1965,0,1,0,0,1965,0,0,0,1,0,0,100,1965,492.11470035,276.9734955,401.0070953,61.7591057,"20250403020017"
"2","20250403020020_2",1,0,100,125,100,0,0,125,0,0,0,0,0,100,2,100,1,60,0,3,0,0,1,1,1,0,3,0,0,0,0,0,0,160,16000,160,0,160,160,160,0,1,0,0,0,160,0,1,0,0,0,100,160,492.11470035,276.9734955,401.0070953,61.7591057,"20250403020020"
"3","20250403020028_1",1,100,0,39.96003996,100,0,0,0,0,39.96003996,0,0,0,25,1,25,1,0,0,4,0,0,0,1,1,0,3,19,0,0,0,0,0,250.25,25025,1001,0,1001,1001,0,0,1,0,0,1001,0,0,0,1,0,0,0,1001,492.11470035,276.9734955,401.0070953,61.7591057,"20250403020028"
"4","20250403020029_3",4,0,100,15.333333335,100,50,50,0,0,0,0,0,0,100,3,0,2,20,0,3,0,0,0,1,0,0,3,0,0,0,0,0,0,1500,75000,1500,0,1500,0,0,0,0.5,0.5,0,1500,0,0,0,1,0,0,50,1500,492.11470035,276.9734955,401.0070953,61.7591057,"20250403020029"
"5","20250903040005_2",1,0,100,60,100,0,0,0,60,0,0,0,0,10,2,0,1,0,0,4,0,0,0,1,0,0,3,37,42,0,0,0,0,50,5000,500,0,500,0,0,0,0,1,500,0,0,0,0,0,1,0,100,500,478.99780275,272.10095975,390.31837465,55.5847549,"20250903040005"
"6","20250903040022_1",1,100,0,53.81165919,100,0,0,0,0,53.81165919,0,0,0,100,3,100,1,1,1,4,0,0,1,1,1,1,3,0,0,0,0,0,0,223,22300,223,0,223,223,223,223,1,0,0,223,0,0,0,1,0,0,0,223,461.9820404,271.99371335,370.18954465,58.4026108,"20250903040022"
"7","20251401050020_1",1,100,0,10.05025126,100,0,0,0,0,0,10.05025126,0,0,100,4,75,1,3,0,2,0,0,1,1,1,0,3,0,0,0,0,0,0,4975,497500,4975,0,4975,4975,4975,0,0,1,0,4975,0,0,0,1,0,0,0,4975,469.79496765,273.5334854,390.64549255,55.9709167,"20251401050020"
"8","20251401050020_2",1,100,0,6.035003018,100,0,0,0,0,0,6.035003018,0,0,100,4,0,1,1,0,3,0,0,1,1,1,0,3,0,0,0,0,0,0,8285,828500,8285,0,8285,8285,8285,0,0,1,0,8285,0,0,0,1,0,0,0,8285,469.79496765,273.5334854,390.64549255,55.9709167,"20251401050020"
"9","20251401050021_1",1,100,0,12,100,0,0,0,0,0,12,0,0,25,2,25,1,0,0,3,0,0,0,1,1,0,3,33,0,0,0,0,0,2500,250000,10000,0,10000,10000,0,0,0,1,0,10000,0,0,0,1,0,0,0,10000,469.79496765,273.5334854,390.64549255,55.9709167,"20251401050021"
"10","20350705010043_1",4,98.03921509,1.960784435,12.1521285825532,99.999999525,0,0,0,0,0,0,0,0,25,3,50,2,1,0,2,0,0,0,1,1,0,2,3,21,0,0,0,0,300,14999.99992875,1200,0,1200,1200,0,0,0,1,1200,0,0,0,0,0,1,0,0.9803922175,1200,408.3857269,211.28134915,348.78083805,56.2385063,"20350705010043"
"11","20360803010015_1",1,100,0,64.77732794,100,0,0,0,0,64.77732794,0,0,0,65,3,65,1,10,0,2,0,1,0,1,1,0,3,8,0,0,0,0,0,1235,123500,1900,0,1900,1900,0,0,1,0,0,1900,0,0,0,1,0,0,0,1900,334.57905575,181.07209015,400.1968994,76.6424255,"20360803010015"
"12","20360803010015_3",4,0,100,47.3684210497,100,0,0,0,0,0,0,0,0,100,3,0,2,30,0,2,0,1,0,1,1,0,3,0,0,0,0,0,0,950,47500,950,0,950,950,0,0,0,1,0,0,950,0,1,0,0,0,50,950,334.57905575,181.07209015,400.1968994,76.6424255,"20360803010015"
"13","20360803010028_1",1,100,0,133.3333333,100,0,0,0,0,0,133.3333333,0,0,100,2,0,1,5,0,2,0,0,0,1,1,0,3,0,0,0,0,0,0,300,30000,300,0,300,300,0,0,0,1,300,0,0,0,0,0,1,0,0,300,334.57905575,181.07209015,400.1968994,76.6424255,"20360803010028"
"14","20360803010028_2",1,100,0,14,100,0,0,0,0,14,0,0,0,100,2,10,1,40,1,2,0,1,0,0,0,0,3,0,0,0,0,0,0,5000,5e+05,5000,0,0,0,0,0,1,0,5000,0,0,0,0,0,1,0,0,5000,334.57905575,181.07209015,400.1968994,76.6424255,"20360803010028"
"15","20360803010052_1",1,100,0,16.66666667,100,0,0,0,0,16.66666667,0,0,0,100,1,100,1,10,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,600,60000,600,0,0,0,0,0,1,0,0,600,0,0,0,1,0,0,0,600,0,0,0,0,"20360803010052"
"16","20361805050023_1",1,0,100,55.55555556,100,0,0,55.55555556,0,0,0,0,0,90,2,75,1,60,0,3,0,0,1,0,0,0,3,21,0,0,0,0,0,1800,180000,2000,0,0,0,2000,0,1,0,0,2000,0,0,0,1,0,0,100,2000,334.55630495,180.2364044,373.39006045,76.6554565,"20361805050023"
"17","20361805050023_2",1,100,0,62.5,100,0,0,0,0,62.5,0,0,0,100,2,100,1,15,0,2,0,1,1,0,0,0,3,0,0,0,0,0,0,1600,160000,1600,0,0,0,1600,0,1,0,0,1600,0,0,0,1,0,0,0,1600,334.55630495,180.2364044,373.39006045,76.6554565,"20361805050023"
"18","20410702060014_1",1,100,0,32,100,0,0,0,0,0,32,0,0,25,1,25,1,0,0,4,0,0,0,1,1,0,2,3,8,0,0,0,0,625,62500,2500,0,2500,2500,0,0,0,1,0,2500,0,0,0,1,0,0,0,2500,446.9838409,235.83674625,342.5139923,105.4465942,"20410702060014"
"19","20540104040009_1",1,100,0,260.4166667,100,0,0,0,0,260.4166667,0,0,0,60,2,0,1,0,0,4,0,0,0,0,0,0,2,3,0,0,0,0,0,288,28800,480,0,0,0,0,0,1,0,0,0,480,0,1,0,0,0,0,480,427.9425812,182.84737015,287.28085325,100.9584122,"20540104040009"
"20","20540104040009_2",1,100,0,150,100,0,0,0,0,150,0,0,0,50,2,0,1,30,0,4,0,1,0,0,0,0,3,33,0,0,0,0,0,500,50000,1000,0,0,0,0,0,1,0,0,0,1000,0,1,0,0,0,0,1000,427.9425812,182.84737015,287.28085325,100.9584122,"20540104040009"
"21","20540104040024_1",1,100,0,218.2539683,100,0,0,0,0,218.2539683,0,0,0,70,4,0,1,0,0,4,0,0,0,0,0,0,2,3,21,0,0,0,0,252,25200,360,0,0,0,0,0,1,0,0,360,0,0,0,1,0,0,0,360,427.87080385,182.87463,287.379776,101.0086975,"20540104040024"
